,CTL,TSB,SDNN,RMSSD,SLEEP,SLEEPQ,STRESS,MOTIVATION,MOOD,SORE,Duration,Intensity,Feeling,FeelPrev,FeelPrev2,FeelPrev3,FeelPrev4,FeelPrev4avg,DurationPrev,IntensityPrev
2014-01-06,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-07,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-08,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-09,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-10,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-11,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-12,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-13,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-14,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2014-01-15,0.0,0.0,56.504835589941976,41.61121856866538,8.783755676982587,3.0,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
