,CTL,TSB,TSS,Duration,Intensity,SDNN,RMSSD,Feeling,Run EF,Swim hrs,Bike hrs,Run hrs,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,Month Run EF,Week Volume,Month Volume,Year Volume,Month TSS,Year TSS,Week IF,Month IF,Year IF,FeelPrev,FeelPrev2,FeelPrev3,FeelPrev4,FeelPrev4avg,Swim hrs mo,Bike hrs mo,Run hrs mo,HRZone1MinutesMonth,HRZone2MinutesMonth,HRZone3MinutesMonth,HRZone4MinutesMonth,HRZone5MinutesMonth,HRZone6MinutesMonth,HRZone7MinutesMonth,DurationPrev,IntensityPrev,SDNN7,RMSSD2
4/1/2013,1.270528921,5.918064493,54,0.85,0.536666667,56.50483559,41.61121857,,1.403225806,0,0.67,0.18,2,4,0,0,0,0,0,0.050115207,0.121428571,0.030357143,0.002328767,1.928571429,0.147945205,0.076666667,0.019166667,0.00147032,5,5,5,5,5,0,0,0,2,4,0,0,0,0,0,0,0,56.50483559,-41.61121857
4/2/2013,4.322844567,14.21754401,131,2.08,0.72,56.50483559,41.61121857,,1.217391304,0,0.75,1,4,14,31,0,0,0,0,0.093593468,0.418571429,0.104642857,0.008027397,6.607142857,0.506849315,0.17952381,0.044880952,0.003442922,,5,5,5,5,0,0,0,6,18,31,0,0,0,0,0.85,0.536666667,56.50483559,-41.61121857
4/3/2013,6.762193167,11.36237208,108,1.94,0.67,56.50483559,41.61121857,,1.182481752,0,0.33,1.28,24,44,5,1,0,0,0,0.135824959,0.695714286,0.173928571,0.013342466,10.46428571,0.802739726,0.275238095,0.068809524,0.005278539,,,5,5,5,0,0,0,30,62,36,1,0,0,0,2.08,0.72,56.50483559,-41.61121857
4/4/2013,8.626525115,8.683971317,86,1.85,0.636666667,56.50483559,41.61121857,,1.238095238,0,0.75,0.77,8,14,2,0,0,0,0,0.180042646,0.96,0.24,0.018410959,13.53571429,1.038356164,0.366190476,0.091547619,0.007022831,,,,5,5,0,0,0,38,76,38,1,0,0,0,1.94,0.67,56.50483559,-41.61121857
4/5/2013,8.423557529,-0.945413555,0,0,0,56.50483559,41.61121857,5,0,,,,0,0,0,0,0,0,0,0.180042646,0.96,0.24,0.018410959,13.53571429,1.038356164,0.366190476,0.091547619,0.007022831,,,,,5,0,0,0,38,76,38,1,0,0,0,1.85,0.636666667,56.50483559,-41.61121857
4/6/2013,12.2251787,17.7077742,170,4,0.6525,56.50483559,41.61121857,,0,0,2.17,1.5,4,24,21,2,0,0,1,0.180042646,1.531428571,0.382857143,0.029369863,19.60714286,1.504109589,0.459404762,0.11485119,0.008810502,5,,,,5,0,0,0,42,100,59,3,0,0,1,0,0,56.50483559,-41.61121857
4/7/2013,13.96097581,8.085262045,86,1.56,0.46,56.50483559,41.61121857,,1.114285714,0,0,1.04,21,19,13,6,5,7,0,0.219838565,1.754285714,0.438571429,0.033643836,22.67857143,1.739726027,0.525119048,0.131279762,0.010070776,,5,,,5,0,0,0,63,119,72,9,5,7,1,4,0.6525,56.50483559,-41.61121857
4/8/2013,15.63240423,7.785435679,85,1.5,0.443333333,56.50483559,41.61121857,,0,0,1.17,0,0,0,0,0,0,0,0,0.219838565,1.847142857,0.492142857,0.037753425,25.71428571,1.97260274,0.511785714,0.147113095,0.011285388,,,5,,5,0,0,0,63,119,72,9,5,7,1,1.56,0.46,56.50483559,-41.61121857
4/9/2013,20.13496099,20.97269951,207,3.56,0.701666667,56.50483559,41.61121857,,1.234042553,0,1.34,1,30,26,34,1,0,0,0,0.263911513,2.058571429,0.619285714,0.047506849,33.10714286,2.539726027,0.509166667,0.172172619,0.013207763,,,,5,5,0,0,0,93,145,106,10,5,7,1,1.5,0.443333333,56.50483559,-41.61121857
4/10/2013,23.80220247,17.08183987,176,2.48,0.743333333,56.50483559,41.61121857,,1.256756757,0,1,1.15,9,12,29,9,6,0,0,0.308795683,2.135714286,0.707857143,0.05430137,39.39285714,3.021917808,0.519642857,0.198720238,0.015244292,,,,,5,0,0,0,102,157,135,19,11,7,1,3.56,0.701666667,56.50483559,-41.61121857
4/11/2013,27.00670692,14.9264324,160,2.76,0.7075,56.50483559,41.61121857,,1.2,0,1.42,1.01,18,31,42,2,0,0,0,0.351652826,2.265714286,0.806428571,0.061863014,45.10714286,3.460273973,0.529761905,0.223988095,0.017182648,,,,,5,0,0,0,120,188,177,21,11,7,1,2.48,0.743333333,56.50483559,-41.61121857
4/12/2013,30.34756962,15.5615827,169,1.69,0.522,56.50483559,41.61121857,,0,0,0,0,25,36,20,0,0,0,0,0.351652826,2.507142857,0.866785714,0.066493151,51.14285714,3.923287671,0.604333333,0.242630952,0.018612785,,,,,5,0,0,0,145,224,197,21,11,7,1,2.76,0.7075,56.50483559,-41.61121857
4/13/2013,30.0099955,-1.572404487,16,0.41,0.423333333,56.50483559,41.61121857,,0,0,0.41,0,0,0,0,0,0,0,0,0.351652826,1.994285714,0.881428571,0.067616438,51.71428571,3.967123288,0.571595238,0.25775,0.019772603,,,,,5,0,0,0,145,224,197,21,11,7,1,1.69,0.522,56.50483559,-41.61121857
4/14/2013,32.00966696,9.314376442,115,1.9,0.655,56.50483559,41.61121857,,1.244444444,0,0,1.48,18,38,15,0,0,0,0,0.39609727,2.042857143,0.949285714,0.072821918,55.82142857,4.282191781,0.599452381,0.281142857,0.021567123,,,,,5,0,0,0,163,262,212,21,11,7,1,0.41,0.423333333,56.50483559,-41.61121857
4/15/2013,31.75062807,-1.206591095,21,0.68,0.356666667,56.50483559,41.61121857,,0,0,0,0,7,6,4,0,0,0,0,0.39609727,1.925714286,0.973571429,0.074684932,56.57142857,4.339726027,0.587071429,0.293880952,0.022544292,,,,,5,0,0,0,170,268,216,21,11,7,1,1.9,0.655,56.50483559,-41.61121857
4/16/2013,33.54464718,8.356457419,108,1.88,0.6825,56.50483559,41.61121857,,1.2,0,0.41,1.14,9,12,31,10,0,0,0,0.438954413,1.685714286,1.040714286,0.079835616,60.42857143,4.635616438,0.584333333,0.318255952,0.024414155,,,,,5,0,0,0,179,280,247,31,11,7,1,0.68,0.356666667,56.50483559,-41.61121857
4/17/2013,34.21415364,3.118529873,62,1.11,0.76,56.50483559,41.61121857,,0,0.53,0.25,0,0,0,0,0,0,0,0,0.438954413,1.49,1.080357143,0.082876712,62.64285714,4.805479452,0.586714286,0.34539881,0.026496347,,,,,5,0,0,0,179,280,247,31,11,7,1,1.88,0.6825,56.50483559,-41.61121857
4/18/2013,36.77370112,11.92225286,143,2.28,0.713333333,56.50483559,41.61121857,,1.2,0,1,0.95,4,16,32,1,0,0,0,0.481811556,1.421428571,1.161785714,0.089123288,67.75,5.197260274,0.587547619,0.370875,0.028450685,,,,,5,0,0,0,183,296,279,32,11,7,1,1.11,0.76,56.50483559,-41.61121857
4/19/2013,36.84961049,0.353582312,40,0.89,0.5,56.50483559,41.61121857,,1.298969072,0,0.25,0.31,2,0,0,0,0,0,0,0.528203309,1.307142857,1.193571429,0.091561644,69.17857143,5.306849315,0.584404762,0.388732143,0.029820548,,,,,5,0,0,0,185,296,279,32,11,7,1,2.28,0.713333333,56.50483559,-41.61121857
